Hotel Name,Brand,City,Country,Price Range,TripAdvisor Rating,Star Rating,Total Rooms,Room Tips,Amenities,Main Image URL
Sofitel Barcelona Skipper,,Barcelona,Spain,$253 - $467,4.5,5.0,225,"A sea view balcony is worth the extra spend; If possible, ask for a pool/ sea view room. ; the place is obviously pretending to become best of barcelona’s beach nightclubs so don’t go there if you are looking for quiet and rest.; Check out the cocktail list - they have a great variety and they’ve been very well thought through. ; Excellent rooftop pool deck with ocean view","Pool,Internet,Free Internet,Restaurant,Wifi,Free Wifi,Business center,Room service,Suites,Fitness center,Wheelchair access,Bar/Lounge,Airport transportation,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Breakfast in the Room,Catalan,Doorperson,English,Complimentary Instant Cofffee,French,24-Hour Front Desk,Ironing Service,Italian,Parking Garage,Public Wifi,Arabic,Bicycle Rental,Bottled Water,Cable / Satellite TV,Car Hire,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Electric Kettle,Extra Long Beds,First Aid Kit,Complimentary Toiletries,Free Wifi in the Business Center,Georgian,Hair Dryer,Highchairs Available,Hungarian,Iron,Kids' Meals,Laptop Safe,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Pool View,Pool with View,Portuguese,Private Bathrooms,Private Check-in / Check-out,Paid Private Parking On-site,Radio,Romanian,Russian,24-Hour Security,Snack Bar,Sofa,Sofa Bed,Soundproof Rooms,Spanish,Special Diet Menus,Strollers,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Tile / Marble Floor,Ukrainian,Umbrella,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Beach Access",
Hyatt Regency Barcelona Tower,,Barcelona,Spain,$174 - $288,4,5.0,280,"There’s a parking garage underneath the pool area.; Taxis into town are cheap and convenient. There is a regularly services taxi stand up front; Higher floors give a better view.; Good parking below the hotel, 25 euros/day; Prefere high floors to get views of Barcelona","Room service,Restaurant,Fitness center,Suites,Pool,Internet,Free Internet,Bar/Lounge,Wifi,Free Wifi,Wheelchair access,Spa,Business center,Dry Cleaning,Meeting rooms,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Heated pool,Flatscreen TV,Breakfast Buffet,Indoor pool,Butler Service,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Breakfast in the Room,Catalan,English,French,24-Hour Front Desk,Ironing Service,Italian,Parking Garage,Paid Private Parking On-site,Taxi Service,Spanish",
Kimpton Vividora Hotel,,Barcelona,Spain,$275 - $460,5,5.0,156,Book this Hotel if you are thinking of staying in the Gothic District as it is blocks from The Boqueria Market.; Sometimes taxis will not drop you off in front of hotel at peak times as it is predominantly a pedestrian area but no more than 3min walk; Top floor pool area very small and gets crowded. ; Don’t miss out their rooftop bar!; Rooms are small but the excellent service more than make up for it. ,"Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Bar/Lounge,Pets Allowed,Wifi,Free Wifi,Dry Cleaning,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Bicycles Available,Blackout Curtains,Bottled Water,Catalan,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Desk,English,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,24-Hour Security,Restaurant,Airport transportation,Public Wifi,Family Rooms,Babysitting,Flatscreen TV,Parking,Facilities for Disabled Guests,Bicycle Rental,Breakfast in the Room,Cable / Satellite TV,Express Check-in / Check-out,Clothes Rack,Couples Massage,Electric Kettle,Evening Entertainment,Facial Treatments,First Aid Kit,Foot Massage,Complimentary Welcome Drink,Full Body Massage,Hand Massage,Happy Hour,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Kids' Meals,Kid-Friendly Buffet,Landmark View,Massage,Neck Massage,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Pool with View,Portuguese,Private Bathrooms,Paid Public Parking Nearby,Radio,Russian,Seating Area,Separate Living Room,Shoeshine,Snack Bar,Sofa,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Ukrainian,Umbrella,VIP Room Facilities,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Yoga Classes",
ME Barcelona,,Barcelona,Spain,$393 - $696,5,5.0,164,"Centrally located. Everyone spoke English. ; City centre pool so not huge, maybe get there early if wanting a bed/shade. Great location with everything you need close by; Want to feel like a celebrity? If so, defo stay in this lovely hotel!; If you really want some privacy in the pool, get a room with a private pool. ; Traffic in Barcelona during the day is bad so it is necessary to plan ahead too get to the airport on time.","Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Free Wifi,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Banquet Room,Air conditioning,Minibar,Safe,Rooftop Terrace,Breakfast Buffet,Outdoor pool,Breakfast Available,Housekeeping,Breakfast in the Room,Catalan,Pool,Internet,Free Internet,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Concierge,Family Rooms,Accessible rooms,Rooftop Bar,Rooftop Pool,Heated pool,Flatscreen TV,Poolside Bar,Butler Service,Parking,Facilities for Disabled Guests,Electric vehicle charging station,Baggage Storage,Bath / Shower,Blackout Curtains,Body Wrap,Bottled Water,Cable / Satellite TV,Car Hire,24-Hour Check-in,Express Check-in / Check-out,Children's Television Networks,Clothes Rack,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Couples Massage,Currency Exchange,Doorperson,English,Extra Long Beds,Facial Treatments,First Aid Kit,Foot Massage,Complimentary Instant Cofffee,Complimentary Toiletries,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,French,24-Hour Front Desk,Full Body Massage,German,Hair Dryer,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Landmark View,Laptop Safe,Massage,Neck Massage,On-Demand Movies,Outdoor Dining Area,Outdoor Furniture,Personal Trainer,Pool / Beach Towels,Pool with View,Portuguese,Private Bathrooms,Private Check-in / Check-out,Paid Public Parking Nearby,Paid Public Parking On-site,24-Hour Security,Shallow End,Shoeshine,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Umbrella,Valet Parking,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Yoga Classes",
Hotel El Palace Barcelona,,Barcelona,Spain,$343 - $684,4.5,5.0,120,"Hotel El Palace is a hidden jewel in Barcelona.; Just enjoy the experience ; This hotel is centrally located to get around Barcelona easily; Plenty of options in Barcelona. I’d suggest somewhere else; Rooftop restaurant, cinema, pool and cocktail bar very very good","Suites,Internet,Free Internet,Free Wifi,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Breakfast Available,Parking,Facilities for Disabled Guests,Allergy-free Room,Baggage Storage,Breakfast in the Room,Bridal Suite,Catalan,Couples Massage,Currency Exchange,Doorperson,English,Facial Treatments,Foot Massage,French,24-Hour Front Desk,Full Body Massage,German,Ironing Service,Italian,Massage,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,24-Hour Security,Soundproof Rooms,Spanish,Special Diet Menus,Sun Terrace,Taxi Service,Wake Up Service / Alarm Clock",
W Barcelona,,Barcelona,Spain,$324 - $781,4,5.0,473,"Take a room on one of the higher floors to have a nicer view.; If you want a great view, you must ask for a high floor, but not right below their nightclub.  ; better stay away!; Lower floor rooms very noisy.; On the weekends go touring as too busy by the pools .","Meeting rooms,Concierge,Beachfront,Suites,Public Wifi,Spa,Wifi,Dry Cleaning,Hot Tub,Non-smoking rooms,Laundry Service,Multilingual Staff,Conference Facilities,Pool,Internet,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Airport transportation,Free Wifi,Business center,Fitness center,Banquet Room,Air conditioning,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Butler Service,Infinity Pool,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Bridal Suite,Catalan,24-Hour Check-in,Desk,Doorperson,English,Evening Entertainment,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Toiletries,24-Hour Front Desk,Full Body Massage,Gift Shop,Hair Dryer,Iron,Ironing Service,Italian,Massage,Nightclub / DJ,Parking Garage,Pool / Beach Towels,Pool with View,Paid Private Parking On-site,Paid Private Parking Nearby,Salon,24-Hour Security,Spanish,Steam Room,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,VIP Room Facilities,Wake Up Service / Alarm Clock,Breakfast Available,Laptop Safe,Private Bathrooms,Valet Parking,Wardrobe / Closet,Beach Access",
Mercer Hotel Barcelona,,Barcelona,Spain,$410 - $569,5,5.0,28,"Order the tomato bread and macaroni.  You won’t be disappointed; Worth the Visit, Highly Recommend.; We were warned to keep our belonging close to us.; The hotel does not have street access, so you car drops you off about 2 short blocks away and the hotel sends someone to get you and y bags; They will take care of your car. They will ask you to drive your car to Plaça Emili Vilanova which is steps away from the Hotel.","Internet,Free Internet,Wifi,Free Wifi,Room service,Wheelchair access,Pool,Suites,Restaurant,Bar/Lounge,Airport transportation,Dry Cleaning,Meeting rooms,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Breakfast Available,Parking,Allergy-free Room,Baggage Storage,Breakfast in the Room,Catalan,Doorperson,Complimentary Instant Cofffee,24-Hour Front Desk,German,Ironing Service,Italian,Private Check-in / Check-out,Spanish,Special Diet Menus,Conference Facilities,Non-smoking hotel,Facilities for Disabled Guests,Housekeeping,Bathrobes,Blackout Curtains,Bottled Water,Car Hire,Desk,English,Complimentary Welcome Drink,French,Greek,Highchairs Available,Interconnected room(s) available,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Paid Public Parking Nearby,Romanian,Russian,24-Hour Security,Snack Bar,Soundproof Rooms,Sun Deck,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Umbrella,Valet Parking,Wake Up Service / Alarm Clock,Wardrobe / Closet,Beach Access",
Grand Hotel Central,,Barcelona,Spain,$298 - $467,4.5,5.0,146,"Don't miss the gorgeous infinity pool and terraceooking the city
Go to Hop On/Hop Off bus stop EARLY as the lines for both routes get long! ; A bit expensive when compared to similar hotels but we felt it was worth it. ; Be sure to book a sunlounger in advance!; Busiest time for the pool was 3-5; Check the pool policy before booking if you intend to use it during your stay ","Pool,Free Internet,Free Wifi,Internet,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Airport transportation,Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Butler Service,Infinity Pool,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Bridal Suite,Catalan,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Desk,Doorperson,English,Facial Treatments,Fitness Classes,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,Complimentary Toiletries,24-Hour Front Desk,Hair Dryer,Head Massage,Ironing Service,Italian,Kid-Friendly Buffet,Massage,Newspaper,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,24-Hour Security,Shoeshine,Snack Bar,Spanish,Special Diet Menus,Sun Terrace,Taxi Service,Telephone,Wake Up Service / Alarm Clock,Sauna,Bidet,Children's Television Networks,Clothes Rack,Couples Massage,Electric Kettle,Foot Massage,French,Full Body Massage,Hand Massage,Highchairs Available,Interconnected room(s) available,Kids' Meals,Landmark View,Neck Massage,Private Bathrooms,Paid Public Parking Nearby,Solarium,Soundproof Rooms,Steam Room,Sun Deck,Tile / Marble Floor,Umbrella,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Yoga Classes,Beach Access",
The One Barcelona,,Barcelona,Spain,$340 - $553,5,5.0,88,"Very. Close to Sagrada familia, very close to all activity, in the center of town; Get a room with a balcony!; There  IS a Spar, we didnt use it, but there is no Pool as such apart from plunge pool on the terrace ; I love that they emailed me to ensure my travel needs from the time of arrival to what my preference for my bedding!; Great rooftop pool, food solid. ","Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Private Balcony,Butler Service,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Bath / Shower,Bathrobes,Bottled Water,Breakfast in the Room,Catalan,Coffee / Tea Maker,Complimentary Tea,Desk,Doorperson,English,Facial Treatments,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,Hair Dryer,Head Massage,Laptop Safe,Massage,Pool / Beach Towels,Banquet Room,Conference Facilities,Breakfast Available,Arabic,Blackout Curtains,Body Wrap,Bridal Suite,Cable / Satellite TV,Car Hire,24-Hour Check-in,Express Check-in / Check-out,Currency Exchange,Czech,Electric Kettle,Filipino,First Aid Kit,Foot Massage,German,Hand Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Kids' Meals,Neck Massage,Newspaper,Outdoor Dining Area,Parking Garage,Personal Trainer,Plunge Pool,Pool with View,Portuguese,Private Bathrooms,Private Check-in / Check-out,Paid Public Parking Nearby,Russian,Shoeshine,Snack Bar,Sofa,Solarium,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Tile / Marble Floor,Umbrella,Valet Parking,VIP Room Facilities,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne",
Casa Fuster Hotel,,Barcelona,Spain,$255 - $507,4.5,5.0,105,Definitely worth having breakfast; The hotel is approximately 10-15 minute walk to most popular sites.; Absolutely perfect choice for a nice break in Barcelona!  Would definitely stay again; One of the Best possible luxurious experience stay in Barcelona; The rooftop bar has fabulous views and great drinks.,"Pool,Internet,Free Internet,Free Wifi,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Minibar,Conference Facilities,Babysitting,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Breakfast in the Room,Catalan,Doorperson,English,French,24-Hour Front Desk,Ironing Service,Italian,Laptop Safe,Massage,24-Hour Security,Shoeshine,Sun Terrace,Accessible rooms,Non-smoking hotel,Sauna,Car Hire,Currency Exchange",
Serras Barcelona,,Barcelona,Spain,$337 - $671,5,5.0,28,The best shopping exists in the alleyways behind the hotel.; Walk to El Born for great food options (avoid Gothic Quarter for food) . Gocce do latte for the best gelato in town is a block away; Take advantage of your location. Explore the Gothic Quarter!; Pay the slightly higher cost.  Well worth it.; The connecting rooms are great for families.  The roof top bar and restaurant are spectacular. Utilize the staff they are extremely helpful!,"Internet,Free Internet,Wifi,Free Wifi,Pool,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Public Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Bottled Water,Bridal Suite,Car Hire,Catalan,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Desk,Doorperson,Complimentary Toiletries,24-Hour Front Desk,Hair Dryer,Ironing Service,Kids' Meals,Outdoor Furniture,Pool with View,Seating Area,24-Hour Security,Shared Lounge / TV Area,Soundproof Rooms,Spanish,Special Diet Menus,Sun Loungers / Beach Chairs,Sun Terrace,Taxi Service,Telephone,VIP Room Facilities,Wake Up Service / Alarm Clock,Breakfast Available,Allergy-free Room,Bidet,Blackout Curtains,Breakfast in the Room,Cable / Satellite TV,Children's Television Networks,Clothes Rack,Electric Kettle,English,Extra Long Beds,First Aid Kit,Complimentary Instant Cofffee,Complimentary Welcome Drink,Free Wifi in the Business Center,Highchairs Available,Interconnected room(s) available,iPod Docking Station,Iron,Laptop Safe,Newspaper,On-Demand Movies,Outdoor Dining Area,Outdoor Fireplace,Personal Trainer,Pool / Beach Towels,Private Bathrooms,Paid Public Parking Nearby,Secured Parking,Separate Living Room,Shallow End,Shoeshine,Snack Bar,Sofa,Sun Deck,Sun Umbrellas,Umbrella,Walk-in Shower,Wardrobe / Closet,Whirlpool Bathtub,Wine / Champagne,Yoga Classes,Beach Access",
Majestic Hotel & Spa Barcelona,,Barcelona,Spain,$291 - $441,4.5,5.0,275,"Go early to the rooftop bar as it gets crowded. You can’t go wrong with any room. All are lovely. Comfortable beds, heated towels, luxury.; It is not a quiet hotel. ; If you like to watch, with a coffee, the street come alive in the morning request a room overlooking the main street.; avoid any offer of a corner room; Check your accommodations first, and be aware of pickpockets.","Pool,Suites,Internet,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Blackout Curtains,Breakfast in the Room,Bridal Suite,Car Hire,Catalan,Currency Exchange,Doorperson,English,Facial Treatments,Fitness / Spa Locker Rooms,French,24-Hour Front Desk,German,Head Massage,Ironing Service,Italian,Massage,Newspaper,Pool with View,Paid Private Parking Nearby,Salon,24-Hour Security,Shoeshine,Solarium,Spanish,Sun Terrace,Taxi Service",
Hotel Ohla Barcelona,,Barcelona,Spain,$289 - $459,4.5,5.0,74,Excellent and accommodating staff! Very welcoming and helpful! ; have fun finding the toilet.; Book online through hotel.; Beautiful property.; You absolutely need to visit the Rooftop during the day and in the evening. ,"Internet,Room service,Free Internet,Restaurant,Wifi,Free Wifi,Suites,Wheelchair access,Pool,Bar/Lounge,Spa,Airport transportation,Public Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Outdoor pool,Breakfast Available,Facilities for Disabled Guests,Housekeeping,Allergy-free Room,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,24-Hour Check-in,Coffee / Tea Maker,Complimentary Tea,English,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Ironing Service,Italian,Outdoor Furniture,Sauna,Bicycle Rental,Cable / Satellite TV,Car Hire,Children's Television Networks,Clothes Rack,Coffee Shop,Couples Massage,Currency Exchange,Desk,Electric Kettle,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,Full Body Massage,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Laptop Safe,Makeup Services,Manicure,Massage,Neck Massage,Pedicure,Personal Trainer,Pool / Beach Towels,Pool with View,Private Bathrooms,Paid Private Parking On-site,Paid Private Parking Nearby,Seating Area,Secured Parking,Shallow End,Shoeshine,Snack Bar,Soundproof Rooms,Spanish,Special Diet Menus,Steam Room,Sun Deck,Sun Terrace,Taxi Service,Telephone,Tile / Marble Floor,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Beach Access",
Melia Barcelona Sarria,,Barcelona,Spain,$198 - $341,4,5.0,321,"Organized a taxi for us at 3am for 5 people to make it to the airport for our flight. ; Great location - easy access to everywhere (approx $12-15 taxi fare).; Can’t tell about superior rooms, but if you want the standard one, better book in another hotel. It’s not worth it.; We paid for a Suite - the best they had and I would not recommend it - plastic fake carpet was the icing on the cake!; If you need to use electronic devices, do not book a stay here.","Restaurant,Fitness center,Room service,Business center,Suites,Wheelchair access,Internet,Free Internet,Bar/Lounge,Wifi,Free Wifi,Public Wifi,Meeting rooms,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Flatscreen TV,Breakfast Buffet,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Blackout Curtains,Breakfast in the Room,Catalan,24-Hour Check-in,Complimentary Tea,24-Hour Front Desk,Ironing Service,Massage,Paid Private Parking Nearby,Spanish,Breakfast Available,Parking,Sauna,ATM On Site,Bicycle Rental,Body Wrap,Cable / Satellite TV,Express Check-in / Check-out,Clothes Rack,Couples Massage,Desk,Doorperson,Electric Kettle,English,Executive Lounge Access,Facial Treatments,Fireplace,Foot Massage,Complimentary Toiletries,French,Full Body Massage,German,Hair Dryer,Hammam,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Italian,Laptop Safe,Neck Massage,Newspaper,Private Bathrooms,Private Check-in / Check-out,Paid Private Parking On-site,Russian,24-Hour Security,Steam Room,Taxi Service,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne",
NH Collection Barcelona Gran Hotel Calderon,,Barcelona,Spain,$257 - $447,4.5,5.0,255,"Great location to stay; Very tiny pool and not a lot of space for loungers around it; but then how many people actually go to Barcelona to hang at the pool?; The hotel was amazing.  The rooftop pool and bar was an added bonus; Find another hotel; Location was good, but not the room","Pool,Free Internet,Free Wifi,Internet,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Baggage Storage,Blackout Curtains,Breakfast in the Room,Catalan,Doorperson,English,French,24-Hour Front Desk,Ironing Service,Kid-Friendly Buffet,Parking Garage,Pool / Beach Towels,Pool with View,Paid Private Parking On-site,Paid Private Parking Nearby,24-Hour Security,Snack Bar,Solarium,Spanish,Sun Terrace,Taxi Service,VIP Room Facilities",
"InterContinental Barcelona, an IHG Hotel",,Barcelona,Spain,$256 - $434,4.5,5.0,273,"Take US electrical adapter; Go to the museum next door 
its quite lovely ; A room with access to club lounges; Get the Cabify app. Try Le Romane restaurant for a great meal but you will need to book.; Don't count on using the Spa. It costs 40 euros an hour. Be careful on checkout that they don't rob you.","Room service,Restaurant,Fitness center,Wheelchair access,Bar/Lounge,Meeting rooms,Business center,Internet,Free Internet,Wifi,Free Wifi,Laundry Service,Concierge,Suites,Public Wifi,Non-smoking rooms,Dry Cleaning,Banquet Room,Family Rooms,Multilingual Staff,Conference Facilities,Non-smoking hotel,Hot Tub,Air conditioning,Accessible rooms,Minibar,Safe,Flatscreen TV,Breakfast Buffet,Indoor pool,Outdoor pool,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Blackout Curtains,Breakfast in the Room,Catalan,English,Facial Treatments,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,24-Hour Front Desk,Ironing Service,Italian,Laptop Safe,Massage,Parking Garage,Paid Private Parking On-site,Spanish,Special Diet Menus,Sun Terrace,Taxi Service,Breakfast Available,Parking,Sauna,Bath / Shower,Bowling Off-site,Car Hire,24-Hour Check-in,Children's Television Networks,Couples Massage,Currency Exchange,Doorperson,Electric Kettle,First Aid Kit,Foot Massage,Free Public Parking Nearby,Complimentary Toiletries,French,Full Body Massage,German,Hair Dryer,Hammam,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Kids' Meals,Kid-Friendly Buffet,Mountain View,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Pool with View,Paid Private Parking Nearby,24-Hour Security,Separate Dining Area,Separate Living Room,Sofa,Sofa Bed,Sun Loungers / Beach Chairs,Sun Umbrellas,Telephone,Tennis Court Off-site,Umbrella,Valet Parking,Wake Up Service / Alarm Clock,Walk-in Shower,Wine / Champagne,Yoga Classes,Beach Access",
