"stars","name","available","bedType","currency","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","features/30","features/31","features/32","features/33","features/34","features/35","persons","price","roomType","features/36","features/37","features/38","features/39"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","552","King Room with View",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","556","King Room with View",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","600","King Room with View",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","532","King Room with View",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","576","King Room with View",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","552","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","600","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","600","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","606","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","649","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","2","655","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","1","576","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","1","624","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","More","1","631","St James King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","2","889","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","2","962","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","2","972","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","841","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","914","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","914","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","923","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","987","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","3","996","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","1","865","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","1","938","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed and 1 sofa bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Towels","Linen","Socket near the bed","Desk","Seating Area","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","1","948","St. James Family King Room","Sofa bed","Single-room air conditioning for guest accommodation","Hand sanitiser","More"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","2","1.002","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","2","1.085","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","2","1.096","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","3","1.027","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","3","1.109","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","3","1.12","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","4","954","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","4","1.037","Nelson Double Queen Room","Hand sanitiser","More",,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","2 large double beds","US$","Room","View","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","4","1.047","Nelson Double Queen Room","Hand sanitiser","More",,
